"name","neighbourhood_group","neighbourhood","room_type","price"
"Whole Apt to Yourself!: Artsy home by BK Museum","Brooklyn","Crown Heights","Entire home/apt",59
"1 BDR in Heart of Lower East side","Manhattan","Chinatown","Entire home/apt",150
"Private room right in heart of SOHO","Manhattan","Nolita","Private room",60
"brand new Studio~Gramercy~W/D in unit~Best value","Manhattan","Kips Bay","Entire home/apt",140
"Sunny ""green"" brownstone duplex with deck & garden","Brooklyn","Bedford-Stuyvesant","Entire home/apt",195
"New MidCentury Modern Apt In The Heart Of Brooklyn","Brooklyn","Flatbush","Entire home/apt",102
"Clean, bright & private room in <3 of UES","Manhattan","Upper East Side","Private room",45
"Large light-filled Chelsea loft with terrace","Manhattan","Chelsea","Entire home/apt",215
"Private Bedroom in Sunnyside, NYC","Queens","Sunnyside","Private room",60
"Private Studio Apartment in Carroll Gardens","Brooklyn","Carroll Gardens","Entire home/apt",60
"Cozy Private Room Central Park 4","Manhattan","Upper West Side","Private room",39
"Charming Private House","Queens","Queens Village","Entire home/apt",125
"Cozy East Village Studio","Manhattan","East Village","Entire home/apt",170
"Sunny home in Sunnyside, NY","Queens","Sunnyside","Private room",80
"$ 65 UES  PRIV. QT, WINDOW ROOM! CLST,ELEV,LAUNDRY","Manhattan","Upper East Side","Private room",68
"Midtown East modern 2 bed apt with swimming pool","Manhattan","Midtown","Entire home/apt",325
"Modern Stylish and Legendary. Couples or Families","Manhattan","Harlem","Entire home/apt",275
"Great room perfect location,","Queens","Maspeth","Private room",50
"400sqft HUGEroom  2min expresstrain & 1min LIRR","Queens","Woodside","Private room",45
"Beautiful Brooklyn Oasis 2 bedroom.","Brooklyn","Bedford-Stuyvesant","Entire home/apt",150
"Peaceful Cozy Oasis in Greenwood Heights","Brooklyn","Sunset Park","Entire home/apt",102
"Huge Sunny Private Room in Bushwick","Brooklyn","Bushwick","Private room",45
"Bushwick Best Kept Secret!!!! Private house Rental","Brooklyn","Bushwick","Entire home/apt",240
"Hotel 48 Lex, Premier King Salon","Manhattan","Midtown","Private room",282
"The Frederick Hotel, Junior Suite 1 King Bed","Manhattan","Tribeca","Private room",249
"Cozy Bedroom","Brooklyn","Bedford-Stuyvesant","Private room",22
"2 story family home in Williamsburg","Brooklyn","Williamsburg","Entire home/apt",165
"Huge sunny room PRIVATE BATHROOM 15 min 2 Times Sq","Queens","Woodside","Private room",65
"PRIME Location:2min Subway 1min LIRR NEW(2015)","Queens","Woodside","Private room",38
"DOMINIQUE'S  NYC  cosy,2 bedrm crashPad*Stay here*","Bronx","Eastchester","Entire home/apt",130
"Minutes From 2 Airports And 3 Major Highways","Queens","South Ozone Park","Entire home/apt",300
"Williamsburg Exposed Brick Loft","Brooklyn","Williamsburg","Entire home/apt",190
"Kiki's Cottage","Queens","Queens Village","Private room",90
