"name","neighbourhood_group","neighbourhood","room_type","price"
"Water View King Bed Hotel Room","Manhattan","Financial District","Private room",213
"Beautiful Studio Suite! Upper East","Manhattan","Upper East Side","Entire home/apt",97
"Luxury waterfront apartment- 1 stop from Manhattan","Brooklyn","Williamsburg","Entire home/apt",105
"MG Nice Room to Stay in NYC Brooklyn","Brooklyn","Bedford-Stuyvesant","Private room",50
"Big room in a great Williamsburg apartment","Brooklyn","Williamsburg","Private room",70
"Affordable Manhattan Bedroom","Manhattan","Washington Heights","Private room",60
"2 bedroom apt. in Manhattan-Gramercy apt building","Manhattan","Gramercy","Entire home/apt",155
"Ft Greene: 2-3 Bedroom Duplex w/Garden","Brooklyn","Fort Greene","Entire home/apt",295
"Panoramic City Views in this 3 Bedrooms 2 Baths","Manhattan","Murray Hill","Entire home/apt",289
"Cozy Studio in East Harlem","Manhattan","East Harlem","Entire home/apt",150
"Cozy apartment close to everything !!!","Queens","Jackson Heights","Entire home/apt",190
"Room near the Empire State Building","Manhattan","Kips Bay","Private room",88
"Kid's friendly two levels apartment with a yard","Manhattan","Harlem","Entire home/apt",195
"Beautiful home away from home!","Queens","Flushing","Entire home/apt",1286
"Serene Flat on Tree-Lined Harlem Street","Manhattan","Harlem","Entire home/apt",144
"Gorgeous West Chelsea Two Bedroom with roof deck!","Manhattan","Chelsea","Entire home/apt",386
"Room by Brighton Beach next to the subway","Brooklyn","Brighton Beach","Private room",51
"Manhatta 1bd apt, 2 beds: 2 streets to subway/shop","Manhattan","Inwood","Private room",119
"Romantic Williamsburg Apartment","Brooklyn","Williamsburg","Entire home/apt",185
"Private Room for Cool Low Maintenance Person #1","Brooklyn","Bushwick","Private room",29
"Private room with private entrance in Greenpoint!","Brooklyn","Greenpoint","Private room",104
"Very nice place","Brooklyn","Bedford-Stuyvesant","Entire home/apt",110
"Your own huge private oasis in the heart of Soho","Manhattan","SoHo","Entire home/apt",319
"BEST Central location in Flushing 301R","Queens","Flushing","Entire home/apt",95
"Bushwick 1 bedroom w/ private roof","Brooklyn","Bushwick","Entire home/apt",80
"A very private living room and bedroom","Bronx","Fordham","Private room",70
"Popular Room NEW Apartment Williamsburg 2020","Brooklyn","Williamsburg","Private room",45
"PVT Room w Tv. Bk Blue Heart/ Near Wycoff Hospital","Brooklyn","Bushwick","Private room",55
"Brand new 2BR~Prime midtown~Newly furnished!","Manhattan","Hell's Kitchen","Entire home/apt",150
"Huge sunny room next to subway!","Manhattan","Harlem","Private room",46
"Convenient Private Room in Spanish Harlem (SpaHa)","Manhattan","East Harlem","Private room",81
"Brownstone comfort + beautiful yard","Brooklyn","Park Slope","Private room",65
"Boerum Hill, Entire Home / Loft","Brooklyn","Boerum Hill","Entire home/apt",250
"Full Floor West Village Loft w/ HUGE Open Office","Manhattan","Greenwich Village","Entire home/apt",1761
"Urban-Living in Hell's Kitchen Home","Manhattan","Hell's Kitchen","Private room",79
"Room in Beautiful Brownstone","Brooklyn","Bedford-Stuyvesant","Private room",80
"Chic, Modern Apt Near Central Park!","Manhattan","Upper East Side","Entire home/apt",113
"Charming one bedroom home in the Upper West Side!","Manhattan","Upper West Side","Entire home/apt",139
"Deluxe 3-BR + 3.5Bath with sweeping city views!!","Manhattan","Midtown","Entire home/apt",1100
"STUNNING E Vill Penthouse","Manhattan","East Village","Entire home/apt",225
"!!Beautiful Large 3 Bedroom Apartment in NYC!!","Manhattan","Washington Heights","Entire home/apt",194
"Charming West Village studio in private townhouse","Manhattan","West Village","Entire home/apt",120
"A+ Location Studio(APT Selected at Check-in) #4","Manhattan","Midtown","Private room",165
"Labor Day Special: Brooklyn Base Camp","Brooklyn","Crown Heights","Private room",55
"LUXE CROWN HEIGHTS DUPLEX - Balcony + Rooftop","Brooklyn","Crown Heights","Entire home/apt",212
"Modern 1 Bedroom In the Middle of Everything!","Brooklyn","Williamsburg","Entire home/apt",94
"Huge Room, Modern Unit in Carroll Gardens","Brooklyn","Carroll Gardens","Private room",40
"Beautiful Upper East Side Apartment","Manhattan","Upper East Side","Entire home/apt",240
"1 Ready to Go Apartment 2 Bedroom","Brooklyn","Sunset Park","Entire home/apt",123
"Cozy,  private Apt Near JFK, Casino & The Beach","Queens","Howard Beach","Entire home/apt",95
"Prospect Park 3 bdrm, Sleeps 8 (#2)","Brooklyn","Prospect-Lefferts Gardens","Entire home/apt",150
"Private #3 Chic & Spacious room near Columbia","Manhattan","Harlem","Private room",43
"NEAR TIMES SQUARE & CENTRAL PARK!","Manhattan","Hell's Kitchen","Private room",125
"20 min to GrandCentral & Flushing!私達は日本語を話します","Queens","Sunnyside","Private room",75
"Prime Chelsea Location,Washer/Dryer","Manhattan","Chelsea","Entire home/apt",76
"Fully Furnished Luk Room including Air Conditiner!","Manhattan","Washington Heights","Private room",40
"Big, bright room in the heart of the East Village","Manhattan","East Village","Private room",70
"Brooklyn Museum cozy room next to 4 subway lines","Brooklyn","Crown Heights","Private room",41
"Cozy Bright Prospect Park Studio","Brooklyn","Prospect Heights","Entire home/apt",150
"Roomy Hell's Kitchen 2BR w/ Pool, DM, nr. Central Park, by Blueground","Manhattan","Hell's Kitchen","Entire home/apt",413
"Cozy Bright Room, 7 Minutes to Midtown!","Manhattan","Harlem","Private room",80
"Beautiful Upper West Side Large 1BD","Manhattan","Upper West Side","Entire home/apt",150
"Artsy bedroom w/garden & private bathroom .","Brooklyn","Bedford-Stuyvesant","Private room",89
"Looking for a Cozy Place to Relax away from Home","Queens","Rosedale","Entire home/apt",150
"AMAZING STUDIO BASEMENT","Queens","Astoria","Private room",79
"Beautiful Private Room in Cobble Hill Brownstone","Brooklyn","Cobble Hill","Private room",318
"Authentic Brooklyn - Near Prospect Park","Brooklyn","Crown Heights","Entire home/apt",125
"Private Crown Heights Brooklyn/Sterling 2/5 Trains","Brooklyn","Prospect-Lefferts Gardens","Private room",65
"Amazing 1 bed, live like a Newyorkr","Manhattan","Gramercy","Entire home/apt",295
"Cozy 1 bdrm on UWS","Manhattan","Civic Center","Entire home/apt",160
"Back on AirBnB Moroccan Oasis with garden","Queens","Ditmars Steinway","Entire home/apt",150
"Brooklyn City Home","Brooklyn","East Flatbush","Entire home/apt",108
"Private cozy room By Yankee stadium","Bronx","Claremont Village","Private room",80
"Private Room in Crown Heights 2 block 2,3,4 trains","Brooklyn","Crown Heights","Private room",58
"Welcome to my Home in Pretty Central Park Area","Manhattan","Upper West Side","Entire home/apt",315
"Nice flat Grand Central Station","Manhattan","Midtown","Entire home/apt",150
"BIG Private Room in NYC APT.","Manhattan","Harlem","Private room",50
"ROOM IN QUEENS, CLOSE TO SUBWAY STATION","Queens","Woodhaven","Private room",60
"New York - Queen Room","Manhattan","Hell's Kitchen","Private room",117
"The Vanderbilt Executive","Manhattan","Murray Hill","Entire home/apt",125
"Central Park Condo","Manhattan","Midtown","Entire home/apt",150
"Clean One Bedroom Apartment","Manhattan","East Village","Entire home/apt",250
"Cassa NYC - Deluxe Suite","Manhattan","Hell's Kitchen","Private room",117
"Clean room in Chinatown, close to all the fun!","Manhattan","Chinatown","Private room",70
"Awesome ROOM in Trendy Location","Brooklyn","Greenpoint","Private room",50
"Luxurious Apt in the heart of Manhattan","Manhattan","Midtown","Entire home/apt",99
"Queen size room near Columbia Uni.","Manhattan","Morningside Heights","Private room",55
"Brooklyn’s finest II","Brooklyn","Canarsie","Private room",53
"Super Chic 1-bedroom apt in Brooklyn Brownstone","Brooklyn","Bedford-Stuyvesant","Entire home/apt",124
"NYC Studio in Harlem Heights","Manhattan","Washington Heights","Entire home/apt",71
"Luxuary one bedroom on Hudson River","Manhattan","Hell's Kitchen","Entire home/apt",200
"Lovely bedroom w/ pr bathroom to rent in Brooklyn","Brooklyn","Red Hook","Private room",80
"Large Room in Beautiful Plant Filled Artist Duplex","Brooklyn","Bushwick","Private room",37
"BED FOR 1 IN LUXURIOUS PARK AVENUE FLAT","Manhattan","Murray Hill","Private room",110
"Oasis in the heart of Williamsburg Brooklyn","Brooklyn","Williamsburg","Entire home/apt",120
"New Williamsburg 1B With Backyard","Brooklyn","Williamsburg","Entire home/apt",160
"Water View King Bed Hotel Room","Manhattan","Financial District","Private room",213
"One bedroom in Brooklyn Heights","Brooklyn","Boerum Hill","Entire home/apt",100
"NYC Airbnb 5.","Brooklyn","Bedford-Stuyvesant","Private room",135
"Thelonious Monk room at The Harlem Flophouse","Manhattan","Harlem","Private room",125
"NO CLEANING FEES: Bronx Private Hostel-like room","Bronx","Wakefield","Private room",35
"BEAUTIFUL NYC APARTMENT! Open & Ready for Guests","Manhattan","Chelsea","Entire home/apt",205
"Classic Brooklyn Row House","Brooklyn","Crown Heights","Entire home/apt",220
"Queen Bedroom with terrace","Manhattan","Harlem","Private room",202
"Bright, quiet railroad style apartment","Queens","Ridgewood","Entire home/apt",60
"Upper Westside apt with huge private terrace.","Manhattan","Upper West Side","Entire home/apt",206
"Amazing, large private room","Brooklyn","Bedford-Stuyvesant","Private room",45
"Bright and Spacious in Bed Stuy, Brooklyn","Brooklyn","Bedford-Stuyvesant","Entire home/apt",150
"Homey Midtown East 1BR w/ Gym, Doorman, near the 6th street by Blueground","Manhattan","Kips Bay","Entire home/apt",371
"Prime Location X-LARGE Room in Luxury Bldg w/Gym","Manhattan","Financial District","Private room",120
"Entire 1 bedroom private home with an office.","Queens","Woodhaven","Entire home/apt",99
"Use the entire space self check in","Bronx","Wakefield","Entire home/apt",499
"Unique Apt in East Village - Private Roof Terrace","Manhattan","East Village","Private room",165
"Lovely bedroom near Central Park","Manhattan","Morningside Heights","Private room",80
"1 bed available in a 2bd/1ba Bushwick Gem","Brooklyn","Bushwick","Private room",85
"Private Mini Loft Arch. Design. 35% off!","Brooklyn","Bedford-Stuyvesant","Entire home/apt",150
"Amazing Location! Apartment in South Williamsburg","Brooklyn","Williamsburg","Private room",85
"Sunny clean safe private apartment in the Bronx","Bronx","Bronxdale","Entire home/apt",85
"Family friendly, steps to subway & a terrace!","Brooklyn","Boerum Hill","Entire home/apt",300
"Clean, Cozy & Comfortable | Room 2 | 2C","Brooklyn","Crown Heights","Private room",75
"Spacious Garden Apartment with Patio","Brooklyn","Bedford-Stuyvesant","Entire home/apt",139
"Great Room with WC","Brooklyn","Williamsburg","Private room",62
"Extra Large Midtown East 1 Bedroom Elevator","Manhattan","Midtown","Entire home/apt",117
"Sunny, spacious 1 bedroom apartment in Ridgewood!","Queens","Ridgewood","Entire home/apt",85
"(D6) Bushwick Private Room","Brooklyn","Bedford-Stuyvesant","Private room",48
"Nice Private Room in Brooklyn","Brooklyn","Bedford-Stuyvesant","Private room",43
"10min Express train(E&F) No Kitchen +AC included","Queens","Woodside","Private room",34
"Brand new 1BR prime UES~WD in unit~BEST VALUE","Manhattan","Upper East Side","Entire home/apt",150
"Cozy 1 Bedroom Rental Unit in Midtown West","Manhattan","Hell's Kitchen","Entire home/apt",85
"Deleted","Manhattan","Hell's Kitchen","Entire home/apt",39
"Beautiful One Bedroom in Chelsea","Manhattan","Chelsea","Entire home/apt",139
"Charming Park Slope 2BR (15 Minutes to Manhattan!)","Brooklyn","Gowanus","Entire home/apt",188
"Cozy stay in Clinton Hill  Downtown Brooklyn","Brooklyn","Bedford-Stuyvesant","Private room",86
"High Floor River View King Bed Hotel Room","Manhattan","Financial District","Private room",183
"Crown Heights Comfort: Cozy Room & Warm Livingroom","Brooklyn","Crown Heights","Private room",35
"Private room in a large duplex","Brooklyn","Williamsburg","Private room",50
"3 stops from Manhattan : Good size for 2 people","Queens","Astoria","Private room",44
"1 Room in a 2 Bedroom Available","Bronx","Longwood","Private room",680
"One bed room with Manhattan view .prospect heights","Brooklyn","Crown Heights","Private room",60
"Cozy Bedroom on UWS steps to CPW !!","Manhattan","Upper West Side","Private room",75
"Entire 2 bedroom Apt in the heart of Crown Heights","Brooklyn","Crown Heights","Entire home/apt",158
"Home Sweet Harlem (Month-to-Month)","Manhattan","East Harlem","Private room",60
"Artful Chelsea 1-BR Apt, BR Faces Garden","Manhattan","Chelsea","Entire home/apt",195
"15 minutes from Manhattan beach","Brooklyn","Sheepshead Bay","Private room",45
"Unfurnished 2 Bedroom apartment","Manhattan","Hell's Kitchen","Entire home/apt",127
"BEAUTIFUL BIG STUDIO SPACE","Brooklyn","Williamsburg","Entire home/apt",600
"Central Park South Artist's Studio","Manhattan","Midtown","Entire home/apt",121
"Homely Private Room with Queen Sized Bed","Brooklyn","Bedford-Stuyvesant","Private room",56
"2 bedroom 💫💫💫Apartmen2min walk toLAG&CITYFiled","Queens","East Elmhurst","Entire home/apt",159
"Inviting & immaculate 1BR - 15 min to midtown","Manhattan","Harlem","Entire home/apt",100
"Cozy bedroom","Queens","Ridgewood","Private room",43
"Private room in 5 min to Rockefeller University","Manhattan","Upper East Side","Private room",103
"Single Apt, Near DNR train&Fast travel to Manhatan","Brooklyn","Sunset Park","Entire home/apt",110
"Charming Sunny 2-bedroom oasis in Rockaway Beach","Queens","Rockaway Beach","Entire home/apt",92
"NYC GRAND CENTRAL STATION LUXURY HOTEL","Manhattan","Murray Hill","Private room",411
"Private Outdoor Terrace • Views Views Views!","Manhattan","Chelsea","Entire home/apt",495
"Hamilton Heights Sanctuary","Manhattan","Harlem","Private room",50
"Fully Furnished Studio Apartment in Chelsea","Manhattan","Chelsea","Entire home/apt",138
"Free Valet Parking + 2 Double Bed Hotel Room","Manhattan","Financial District","Private room",215
"Cosy Room with Private Ensuite Bathroom","Brooklyn","Bedford-Stuyvesant","Private room",94
"5Star Super Convenient & Spacious BR, 1st Flr Apt","Brooklyn","Crown Heights","Private room",57
"Lovely 4 bedroom/3 bathroom/Garden. Central Park.","Manhattan","Upper West Side","Entire home/apt",800
"1BR, elevator, kitchen, doorman!","Manhattan","Upper East Side","Entire home/apt",150
"Brooklyn Room with private rooftop","Brooklyn","Bedford-Stuyvesant","Private room",73
"Spacious and sunny room in hip neighbourhood!","Brooklyn","Bedford-Stuyvesant","Private room",49
"Modern apartment in the heart of Williamsburg","Brooklyn","Williamsburg","Entire home/apt",153
"COZY ROOM IN ELMHURST","Queens","Elmhurst","Private room",55
"Quiet Oasis in the Middle of it All","Brooklyn","Fort Greene","Entire home/apt",209
"Huge Tribeca Loft (urban-rustic)","Manhattan","Tribeca","Entire home/apt",178
"Big, bright loft in Williamsburg","Brooklyn","Williamsburg","Entire home/apt",180
"Modern bedroom in Bushwick (3)","Brooklyn","Bushwick","Private room",60
"Sun Filled Artist Cave - Access to Full Apartment","Brooklyn","Crown Heights","Private room",75
"Williamsburg Garden Escape","Brooklyn","Williamsburg","Entire home/apt",119
"Large Studio - Meatpacking District","Manhattan","West Village","Entire home/apt",190
"Beautiful Village area one bedroom loft apartment.","Manhattan","East Village","Entire home/apt",175
"Enjoy Harlem in the finest of townhouse living","Manhattan","Harlem","Entire home/apt",200
"Mott Haven Dorm FF","Bronx","Port Morris","Shared room",31
"In the heart of the East Village","Manhattan","East Village","Entire home/apt",200
"Beautiful 2BR PLG Apartment","Brooklyn","Prospect-Lefferts Gardens","Entire home/apt",165
"""Private room in shared apartment""","Brooklyn","Bushwick","Private room",30
"Artsy Guestroom in Harlem","Manhattan","Harlem","Private room",74
"Cheerful 2 Bed 1 sofa 2 bath double booking on rms","Bronx","Williamsbridge","Private room",100
"A light filled historical","Queens","Rockaway Beach","Entire home/apt",149
